  # z-dipole density
# The last    3 ion types are fixed
# Average over        100 steps
# z (au)        A            Im1          Im2          Im3          C1           C2           P         
 64.749368038  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 65.305156604  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 65.860945171  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 66.416733738  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 66.972522305  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 67.528310872  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 68.084099439  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 68.639888005  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 69.195676572  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 69.751465139  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 70.307253706  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
