# Ion number density
# The last    3 ion types are fixed
# Average over     378000 steps
# z (au)        total        A            Im1          Im2          Im3          N            C            Me           C1           C2           P         
146.142941892  0.004944073  0.000092891  0.000087813  0.000087696  0.000080149  0.001522048  0.001529706  0.001543770  0.000000000  0.000000000  0.000000000
147.031348833  0.004949202  0.000099906  0.000088730  0.000093016  0.000083040  0.001525753  0.001532194  0.001526563  0.000000000  0.000000000  0.000000000
147.919755775  0.004959879  0.000095667  0.000092978  0.000097964  0.000085561  0.001522059  0.001542924  0.001522726  0.000000000  0.000000000  0.000000000
148.808162717  0.005056889  0.000099016  0.000095491  0.000104599  0.000090492  0.001558106  0.001562938  0.001546247  0.000000000  0.000000000  0.000000000
149.696569658  0.005033883  0.000089984  0.000092587  0.000103969  0.000094600  0.001563551  0.001551199  0.001537993  0.000000000  0.000000000  0.000000000
150.584976600  0.004992794  0.000088099  0.000091849  0.000102231  0.000095840  0.001547659  0.001552293  0.001514822  0.000000000  0.000000000  0.000000000
151.473383541  0.004905701  0.000083113  0.000093006  0.000105709  0.000101547  0.001521381  0.001508294  0.001492651  0.000000000  0.000000000  0.000000000
152.361790483  0.004858137  0.000083322  0.000099061  0.000104739  0.000104256  0.001503621  0.001468427  0.001494711  0.000000000  0.000000000  0.000000000
153.250197424  0.004857010  0.000089285  0.000112709  0.000100679  0.000112977  0.001497507  0.001470010  0.001473844  0.000000000  0.000000000  0.000000000
154.138604366  0.004893570  0.000100390  0.000121922  0.000103367  0.000108165  0.001512974  0.001469099  0.001477653  0.000000000  0.000000000  0.000000000
155.027011308  0.004934908  0.000100384  0.000127865  0.000111744  0.000110382  0.001517311  0.001494579  0.001472643  0.000000000  0.000000000  0.000000000
155.915418249  0.004989947  0.000104800  0.000127881  0.000109379  0.000109824  0.001514531  0.001533714  0.001489818  0.000000000  0.000000000  0.000000000
156.803825191  0.004992426  0.000107258  0.000121039  0.000107643  0.000111347  0.001513210  0.001536994  0.001494936  0.000000000  0.000000000  0.000000000
157.692232132  0.004970937  0.000096497  0.000113950  0.000109216  0.000111184  0.001524069  0.001518242  0.001497780  0.000000000  0.000000000  0.000000000
158.580639074  0.004895366  0.000087009  0.000105868  0.000108577  0.000110437  0.001517907  0.001485504  0.001480063  0.000000000  0.000000000  0.000000000
159.469046016  0.004846096  0.000080802  0.000097256  0.000107794  0.000102924  0.001520512  0.001470050  0.001466759  0.000000000  0.000000000  0.000000000
160.357452957  0.004870044  0.000081466  0.000099676  0.000102745  0.000100906  0.001516187  0.001488252  0.001480813  0.000000000  0.000000000  0.000000000
161.245859899  0.004924707  0.000088930  0.000098263  0.000097258  0.000101103  0.001519792  0.001520075  0.001499286  0.000000000  0.000000000  0.000000000
162.134266840  0.004992118  0.000097184  0.000094027  0.000093358  0.000097235  0.001535714  0.001540931  0.001533669  0.000000000  0.000000000  0.000000000
163.022673782  0.005021839  0.000098747  0.000085478  0.000093680  0.000097806  0.001544346  0.001549995  0.001551786  0.000000000  0.000000000  0.000000000
163.911080724  0.005014649  0.000100252  0.000080701  0.000090526  0.000092335  0.001518208  0.001563136  0.001569492  0.000000000  0.000000000  0.000000000
164.799487665  0.004963297  0.000104552  0.000085713  0.000091137  0.000088500  0.001506597  0.001528944  0.001557854  0.000000000  0.000000000  0.000000000
165.687894607  0.004913715  0.000106635  0.000087487  0.000085071  0.000080118  0.001494842  0.001520994  0.001538567  0.000000000  0.000000000  0.000000000
166.576301548  0.004883083  0.000108743  0.000087131  0.000084304  0.000077507  0.001493469  0.001491889  0.001540040  0.000000000  0.000000000  0.000000000
