# Created by f3dm-l4s 0.1.0 using f3dmlib 1.8.24.3
# Force has been calculated on a mesh of 42184 nodes (28465 elements)
# using quadratic tetrahedral elements.
#
# Grid data:
# Center of the pox: 0.75 0.25 3 
# Box size: 1.500000 0.500000 2.000000 
# Number of points: 100 1 100 
#
# x  y  z  Fx  Fy  Fz
 0.000000000000000e+00      2.500000000000000e-01     3.414141414141423e+00     -6.906888465108008e-06      1.824324671722000e-04     4.901090420641618e-01
 0.000000000000000e+00      2.500000000000000e-01     3.434343434343444e+00     -4.804768385768821e-06      2.128445142980939e-04     4.900689152958341e-01
 0.000000000000000e+00      2.500000000000000e-01     3.454545454545464e+00     -2.702648307484345e-06      2.432565614255422e-04     4.900287885275070e-01
 0.000000000000000e+00      2.500000000000000e-01     3.474747474747484e+00     -6.005282316978722e-07      2.736686085522688e-04     4.899886617591808e-01
 0.000000000000000e+00      2.500000000000000e-01     3.494949494949505e+00      1.501591847641315e-06      3.040806556781628e-04     4.899485349908531e-01
 0.000000000000000e+00      2.500000000000000e-01     3.515151515151525e+00      3.603711926980502e-06      3.344927028041123e-04     4.899084082225254e-01
 0.000000000000000e+00      2.500000000000000e-01     3.535353535353545e+00      1.089495965872489e-05      3.830924614200565e-04     4.899074014455865e-01
 0.000000000000000e+00      2.500000000000000e-01     3.555555555555566e+00      1.293553683151538e-05      4.255453127979120e-04     4.899059373760434e-01
 0.000000000000000e+00      2.500000000000000e-01     3.575757575757586e+00      1.497611400202992e-05      4.679981641768499e-04     4.899044733065010e-01
 0.000000000000000e+00      2.500000000000000e-01     3.595959595959606e+00     -6.089921399154985e-05      5.925262741614534e-04     4.898075007035598e-01
 0.000000000000000e+00      2.500000000000000e-01     3.616161616161627e+00     -1.525228005161416e-05      7.048887203131571e-04     4.898025433996370e-01
 0.000000000000000e+00      2.500000000000000e-01     3.636363636363647e+00      3.039465388787743e-05      8.172511664646664e-04     4.897975860957147e-01
 0.000000000000000e+00      2.500000000000000e-01     3.656565656565667e+00      7.604158782781312e-05      9.296136126149546e-04     4.897926287917924e-01
 0.000000000000000e+00      2.500000000000000e-01     3.676767676767688e+00      1.216885217670827e-04      1.041976058766436e-03     4.897876714878701e-01
 0.000000000000000e+00      2.500000000000000e-01     3.696969696969708e+00      1.673354557071294e-04      1.154338504918140e-03     4.897827141839473e-01
