# Ion number density
# The last    3 ion types are fixed
# Average over     744960 steps
# z (au)        total        A            Im1          Im2          Im3          N            C            Me           C1           C2           P         
116.825512819  0.004783152  0.000142812  0.000136111  0.000137966  0.000125815  0.001408333  0.001418721  0.001413394  0.000000000  0.000000000  0.000000000
117.713919761  0.004814757  0.000137025  0.000141275  0.000139933  0.000131366  0.001419066  0.001425815  0.001420278  0.000000000  0.000000000  0.000000000
118.602326702  0.004859231  0.000139012  0.000138984  0.000137894  0.000130004  0.001425915  0.001442390  0.001445032  0.000000000  0.000000000  0.000000000
119.490733644  0.004824845  0.000130042  0.000139701  0.000139125  0.000129055  0.001422235  0.001425303  0.001439384  0.000000000  0.000000000  0.000000000
120.379140586  0.004793209  0.000118399  0.000131959  0.000137545  0.000129185  0.001434606  0.001416112  0.001425403  0.000000000  0.000000000  0.000000000
121.267547527  0.004796374  0.000109982  0.000130148  0.000133463  0.000132295  0.001430577  0.001429097  0.001430812  0.000000000  0.000000000  0.000000000
122.155954469  0.004815569  0.000112613  0.000130329  0.000127294  0.000134794  0.001437140  0.001448519  0.001424881  0.000000000  0.000000000  0.000000000
123.044361410  0.004850899  0.000116525  0.000125693  0.000122862  0.000131835  0.001452532  0.001463855  0.001437596  0.000000000  0.000000000  0.000000000
123.932768352  0.004855606  0.000123132  0.000122995  0.000115472  0.000133047  0.001472621  0.001441291  0.001447047  0.000000000  0.000000000  0.000000000
124.821175294  0.004872964  0.000129482  0.000121937  0.000109260  0.000131450  0.001471379  0.001457968  0.001451488  0.000000000  0.000000000  0.000000000
125.709582235  0.004838412  0.000130634  0.000117582  0.000106698  0.000129462  0.001444995  0.001450329  0.001458712  0.000000000  0.000000000  0.000000000
126.597989177  0.004812355  0.000121715  0.000114789  0.000111224  0.000126694  0.001448539  0.001440422  0.001448973  0.000000000  0.000000000  0.000000000
127.486396118  0.004815887  0.000117788  0.000115755  0.000113109  0.000125753  0.001452252  0.001445511  0.001445719  0.000000000  0.000000000  0.000000000
128.374803060  0.004840587  0.000119613  0.000115376  0.000114835  0.000122996  0.001450401  0.001458724  0.001458642  0.000000000  0.000000000  0.000000000
129.263210002  0.004881468  0.000117570  0.000121450  0.000117489  0.000117249  0.001458307  0.001474603  0.001474800  0.000000000  0.000000000  0.000000000
130.151616943  0.004893287  0.000116908  0.000116945  0.000115117  0.000114904  0.001467807  0.001475650  0.001485957  0.000000000  0.000000000  0.000000000
131.040023885  0.004896030  0.000118280  0.000114864  0.000115807  0.000113968  0.001456152  0.001486071  0.001490890  0.000000000  0.000000000  0.000000000
131.928430826  0.004906295  0.000126181  0.000114764  0.000117117  0.000116336  0.001467928  0.001483035  0.001480934  0.000000000  0.000000000  0.000000000
132.816837768  0.004896949  0.000131767  0.000112893  0.000118657  0.000116561  0.001465608  0.001470877  0.001480586  0.000000000  0.000000000  0.000000000
133.705244709  0.004854052  0.000127903  0.000110341  0.000121453  0.000116930  0.001460574  0.001457280  0.001459572  0.000000000  0.000000000  0.000000000
134.593651651  0.004795420  0.000116491  0.000114206  0.000118832  0.000112546  0.001449370  0.001431392  0.001452583  0.000000000  0.000000000  0.000000000
135.482058593  0.004813852  0.000121573  0.000119294  0.000115244  0.000110810  0.001448501  0.001441912  0.001456518  0.000000000  0.000000000  0.000000000
136.370465534  0.004840874  0.000124042  0.000115513  0.000111076  0.000112716  0.001445911  0.001460381  0.001471236  0.000000000  0.000000000  0.000000000
137.258872476  0.004880335  0.000118068  0.000110797  0.000110666  0.000113480  0.001459281  0.001477824  0.001490219  0.000000000  0.000000000  0.000000000
138.147279417  0.004925412  0.000121458  0.000112684  0.000110017  0.000112255  0.001481155  0.001485471  0.001502371  0.000000000  0.000000000  0.000000000
139.035686359  0.004930590  0.000116586  0.000113422  0.000110863  0.000111723  0.001481726  0.001492651  0.001503619  0.000000000  0.000000000  0.000000000
139.924093301  0.004938878  0.000112625  0.000114179  0.000110756  0.000111649  0.001487098  0.001509652  0.001492919  0.000000000  0.000000000  0.000000000
140.812500242  0.004913108  0.000113295  0.000111650  0.000113341  0.000110089  0.001488629  0.001494320  0.001481783  0.000000000  0.000000000  0.000000000
141.700907184  0.004873936  0.000108135  0.000114854  0.000112075  0.000111790  0.001489359  0.001473829  0.001463894  0.000000000  0.000000000  0.000000000
142.589314125  0.004873536  0.000106163  0.000115962  0.000114946  0.000116187  0.001492128  0.001462735  0.001465416  0.000000000  0.000000000  0.000000000
143.477721067  0.004868254  0.000111033  0.000112109  0.000116416  0.000113413  0.001493084  0.001464712  0.001457488  0.000000000  0.000000000  0.000000000
144.366128009  0.004914716  0.000105081  0.000108319  0.000115225  0.000113335  0.001502817  0.001492213  0.001477726  0.000000000  0.000000000  0.000000000
145.254534950  0.004940770  0.000095908  0.000103422  0.000114491  0.000114648  0.001508182  0.001499772  0.001504347  0.000000000  0.000000000  0.000000000
146.142941892  0.004984183  0.000100978  0.000111251  0.000114654  0.000115019  0.001510655  0.001517904  0.001513722  0.000000000  0.000000000  0.000000000
147.031348833  0.004971964  0.000096036  0.000115973  0.000110990  0.000113846  0.001500880  0.001524536  0.001509702  0.000000000  0.000000000  0.000000000
147.919755775  0.004952243  0.000102418  0.000113593  0.000101651  0.000112796  0.001507284  0.001521404  0.001493096  0.000000000  0.000000000  0.000000000
148.808162717  0.004916224  0.000105169  0.000113693  0.000102426  0.000108063  0.001507825  0.001491324  0.001487725  0.000000000  0.000000000  0.000000000
149.696569658  0.004914567  0.000104193  0.000111730  0.000105778  0.000103541  0.001515999  0.001491169  0.001482157  0.000000000  0.000000000  0.000000000
150.584976600  0.004898364  0.000101244  0.000109026  0.000109620  0.000102249  0.001518698  0.001484746  0.001472781  0.000000000  0.000000000  0.000000000
151.473383541  0.004915205  0.000097748  0.000109763  0.000111722  0.000106013  0.001519028  0.001497647  0.001473284  0.000000000  0.000000000  0.000000000
